PIN_NUM,CALC_AREA,REID,DEED_ACRES,BLDG_VAL,LAND_VAL,TOTAL_VALUE_ASSD,HEATEDAREA,SITE_ADDRESS,CITY_DECODE,TOWNSHIP_DECODE,YEAR_BUILT,TYPE_USE_DECODE,LAND_CLASS_DECODE,ZIPNUM
1728128676,0.13139512,178909,0.13,264442,115000,379442,1570,3001 ENGLEFIELD DR,RALEIGH,Neuse,2000,SINGLFAM,Residential Less Than 10 Acres,27615
1728128422,0.12794271,178912,0.13,271399,115000,386399,1756,3017 ENGLEFIELD DR,RALEIGH,Neuse,1993,SINGLFAM,Residential Less Than 10 Acres,27615
1728127367,0.15831294,178913,0.15,323832,115000,438832,2026,3021 ENGLEFIELD DR,RALEIGH,Neuse,1996,SINGLFAM,Residential Less Than 10 Acres,27615
1728126486,0.14048419,178946,0.14,304122,115000,419122,1806,3020 ENGLEFIELD DR,RALEIGH,Neuse,2000,SINGLFAM,Residential Less Than 10 Acres,27615
1707481461,0.08197474,178995,0.08,298895,100000,398895,1975,33 RENWICK CT,RALEIGH,House Creek,1989,SINGLFAM,Residential Less Than 10 Acres,27615
1744631812,0.24758056,178999,0.25,240996,80000,320996,1446,806 BEDDINGFIELD DR,KNIGHTDALE,St. Matthew's,1990,SINGLFAM,Residential Less Than 10 Acres,27545
1744630684,0.22480555,179003,0.22,331628,80000,411628,2193,805 BEDDINGFIELD DR,KNIGHTDALE,St. Matthew's,1991,SINGLFAM,Residential Less Than 10 Acres,27545
0744770888,0.28844246,179045,0.29,651630,295000,946630,3158,109 SIR JAMES CT,CARY,Cedar Fork,1993,SINGLFAM,Residential Less Than 10 Acres,27513
0744771993,0.28772604,179046,0.29,514923,295000,809923,2880,108 SIR JAMES CT,CARY,Cedar Fork,1997,SINGLFAM,Residential Less Than 10 Acres,27513
0744773709,0.27264654,179048,0.28,436779,295000,731779,2141,104 SIR JAMES CT,CARY,Cedar Fork,1992,SINGLFAM,Residential Less Than 10 Acres,27513
0744775651,0.23391765,179055,0.24,503996,295000,798996,2592,104 GLEN ABBEY DR,CARY,Cedar Fork,1997,SINGLFAM,Residential Less Than 10 Acres,27513
0744775524,0.35522433,179056,0.36,526865,295000,821865,2484,106 GLEN ABBEY DR,CARY,Cedar Fork,1990,SINGLFAM,Residential Less Than 10 Acres,27513
0744772494,0.23315188,179059,0.24,488152,295000,783152,2802,112 GLEN ABBEY DR,CARY,Cedar Fork,1992,SINGLFAM,Residential Less Than 10 Acres,27513
0753157476,0.20527096,179061,0.21,266858,165000,431858,1365,104 THAMESFORD WAY,CARY,Cary,1991,SINGLFAM,Residential Less Than 10 Acres,27513
1619259323,2.22517221,179202,2.24,462385,120750,583135,3173,8201 CANTHY CIR,,Panther Branch,1993,SINGLFAM,Residential Less Than 10 Acres,27529
0751294810,0.33291714,179283,0.33,339223,180000,519223,2479,1015 W ABBERLEY LN,APEX,White Oak,1993,SINGLFAM,Residential Less Than 10 Acres,27502
0773892130,0.03388375,179284,0.03,230950,55000,285950,1233,5608 KIMSEY CT,RALEIGH,Raleigh,1989,SINGLFAM,Residential Less Than 10 Acres,27606
0752203166,0.30740673,179312,0.3,286074,180000,466074,1895,1018 CAMBERLEY DR,APEX,White Oak,1993,SINGLFAM,Residential Less Than 10 Acres,27502
0772402952,0.46469314,179342,0.46,471424,250000,721424,2764,7108 SPRING RIDGE RD,CARY,Swift Creek,1993,SINGLFAM,Residential Less Than 10 Acres,27518
0772415131,0.3794346,179344,0.37,454505,250000,704505,2861,7103 SPRING RIDGE RD,CARY,Swift Creek,1991,SINGLFAM,Residential Less Than 10 Acres,27518
0772414071,0.35010445,179345,0.36,458376,250000,708376,2818,7105 SPRING RIDGE RD,CARY,Swift Creek,1989,SINGLFAM,Residential Less Than 10 Acres,27518
0772404980,0.46180981,179346,0.46,447092,250000,697092,2812,7107 SPRING RIDGE RD,CARY,Swift Creek,1989,SINGLFAM,Residential Less Than 10 Acres,27518
